numunique,time
88,0.283382
71,0.228389
105,0.322816
74,0.23453
65,0.214663
185,0.571693
176,0.526659
104,0.328046
82,0.254168
43,0.156464
139,0.417704
67,0.219111
85,0.272
88,0.279084
185,0.552558
119,0.364775
98,0.304081
155,0.464793
146,0.430698
109,0.336252
164,0.485221
141,0.424116
61,0.198583
129,0.384582
59,0.194355
88,0.285516
217,0.627479
108,0.338255
206,0.611989
130,0.393219
112,0.348104
97,0.300283
142,0.438413
142,0.43158
74,0.236955
52,0.182212
68,0.228309
71,0.231054
70,0.226826
94,0.295285
56,0.189907
44,0.153818
60,0.20278
68,0.218059
69,0.22411
51,0.173095
51,0.178224
60,0.201168
98,0.30866
81,0.258124
39,0.141706
53,0.179237
56,0.187262
74,0.23444
74,0.240151
87,0.278203
77,0.25021
63,0.203582
60,0.198453
72,0.242826
22,0.091262
98,0.309522
54,0.182062
43,0.149882
58,0.197861
77,0.244088
64,0.208862
96,0.302167
104,0.322165
132,0.409219
94,0.279214
82,0.245311
89,0.264346
53,0.162455
64,0.196799
56,0.179787
97,0.280507
97,0.273543
79,0.233438
98,0.287309
56,0.174267
62,0.197441
45,0.153338
94,0.278423
83,0.246503
31,0.107441
82,0.243077
98,0.27653
37,0.127379
50,0.165911
94,0.269255
46,0.153979
10,0.058359
7,0.045876
7,0.046717
16,0.070242
33,0.118352
11,0.056166
40,0.132299
3,0.035977
15,0.068499
21,0.084589
13,0.062918
60,0.187643
52,0.348574
70,0.204855
79,0.238067
131,0.359816
98,0.283832
158,0.455535
128,0.350287
81,0.23407
105,0.309481
82,0.233959
59,0.188874
104,0.299312
63,0.191349
76,0.230553
48,0.151875
63,0.194605
82,0.241213
56,0.180178
40,0.137308
52,0.169799
21,0.085771
38,0.130234
92,0.270188
68,0.208271
68,0.20789
49,0.158598
93,0.283573
28,0.105207
83,0.246052
100,0.286157
51,0.164959
90,0.2666
34,0.120636
42,0.139081
30,0.109044
36,0.124193
33,0.115807
13,0.062978
7,0.047098
17,0.071414
4,0.03733
29,0.10114
17,0.073227
6,0.045055
16,0.072816
22,0.08508
4,0.039384
5,0.042971
28,0.103735
14,0.063298
3,0.035477
14,0.063298
14,0.066465
19,0.077866
55,0.169639
70,0.207319
11,0.059071
82,0.242095
3,0.034836
76,0.220925
89,0.256853
126,0.357902
89,0.264005
82,0.242546
22,0.087294
47,0.15427
57,0.177263
27,0.098655
58,0.178845
52,0.168006
96,0.272001
86,0.251653
176,0.48506
140,0.389651
116,0.324609
102,0.294753
159,0.44192
201,0.552638
108,0.316464
102,0.309701
90,0.261451
64,0.192762
76,0.233779
58,0.178686
25,0.096521
29,0.107302
32,0.113283
83,0.246773
69,0.210946
72,0.216526
69,0.208362
111,0.320211
48,0.158448
46,0.15446
46,0.152226
25,0.097704
68,0.207259
110,0.318558
78,0.230613
99,0.28781
97,0.290055
92,0.268955
68,0.208391
79,0.237786
60,0.188504
88,0.265628
52,0.16473
87,0.265388
81,0.239088
40,0.136707
88,0.259407
99,0.28737
82,0.245952
101,0.297378
81,0.243197
90,0.265689
66,0.20236
122,0.350007
144,0.411993
170,0.472948
163,0.44756
234,0.634732
306,0.82019
372,0.99071
263,0.699563
215,0.586551
124,0.353884
123,0.350048
120,0.3409
82,0.24501
166,0.469822
91,0.267011
103,0.304792
145,0.410812
97,0.283542
98,0.290024
67,0.20779
85,0.253416
163,0.455264
83,0.251251
125,0.364084
83,0.25041
94,0.27732
84,0.256452
131,0.371547
112,0.320923
170,0.473118
30,0.11172
40,0.135534
93,0.273243
39,0.136366
27,0.101671
40,0.137008
93,0.273684
47,0.152366
95,0.280056
58,0.188624
80,0.243677
82,0.242094
43,0.14392
98,0.285726
119,0.336622
107,0.310854
72,0.224231
93,0.27707
60,0.188304
90,0.269105
114,0.328236
95,0.28222
178,0.502192
89,0.260819
145,0.406223
255,0.68732
264,0.721966
