numunique,time
188,0.177353
280,0.302067
298,0.180639
309,0.178035
307,0.178666
438,0.183755
324,0.177142
441,0.256131
443,0.178495
532,0.178074
313,0.177904
279,0.181441
400,0.176541
404,0.247765
209,0.182793
209,0.177413
316,0.182472
314,0.178184
158,0.182673
280,0.182082
193,0.176592
158,0.174448
233,0.177733
288,0.178395
198,0.180659
133,0.177453
247,0.178004
134,0.1758
102,0.176982
69,0.175249
114,0.182512
150,0.174648
107,0.263384
159,0.174909
264,0.181541
205,0.174277
258,0.17613
253,0.175409
364,0.175369
154,0.180669
184,0.177944
436,0.17554
172,0.178896
205,0.177353
220,0.178084
188,0.17583
182,0.176983
138,0.17553
169,0.17584
240,0.183585
278,0.176281
278,0.179437
235,0.176301
100,0.175259
101,0.178665
229,0.177013
137,0.179848
109,0.18127
228,0.177944
135,0.175519
128,0.17583
186,0.175499
210,0.1811
138,0.178035
236,0.178585
121,0.175289
161,0.178335
253,0.176942
140,0.182183
86,0.177483
131,0.187201
84,0.176682
131,0.179608
115,0.178054
78,0.174989
48,0.190227
35,0.174568
62,0.177153
49,0.174358
51,0.17547
49,0.174858
55,0.179106
62,0.182192
94,0.180358
79,0.178566
76,0.174057
71,0.176432
74,0.174538
58,0.174057
49,0.174147
56,0.18657
81,0.301827
61,0.180819
46,0.173937
57,0.174929
45,0.177243
32,0.173756
56,0.18073
47,0.175219
41,0.177634
32,0.174557
49,0.179547
24,0.175069
23,0.172734
32,0.174878
32,0.172975
27,0.176121
20,0.18099
18,0.173977
23,0.17597
21,0.176321
36,0.179858
67,0.181912
71,0.174177
65,0.174388
38,0.177674
61,0.17574
41,0.177874
23,0.173897
20,0.174658
29,0.176661
19,0.178085
22,0.179968
14,0.172865
19,0.173897
18,0.180258
37,0.174026
29,0.175419
40,0.173856
63,0.180098
88,0.177102
104,0.180549
71,0.174678
85,0.176472
83,0.177333
117,0.180268
110,0.174948
97,0.177223
202,0.18146
104,0.177613
117,0.176511
180,0.178405
183,0.177463
238,0.178906
124,0.173736
125,0.175419
121,0.176041
150,0.179958
76,0.177764
110,0.1757
137,0.176892
63,0.174838
42,0.180148
50,0.180879
148,0.185859
72,0.176091
42,0.175891
99,0.178575
35,0.174988
29,0.180819
41,0.18084
34,0.17607
13,0.183454
14,0.176702
19,0.183214
13,0.17562
21,0.175399
15,0.174949
61,0.182192
55,0.177323
56,0.174628
42,0.178355
36,0.176782
50,0.176261
54,0.17554
56,0.175349
41,0.177703
94,0.18091
45,0.174888
83,0.176201
21,0.173897
29,0.182683
30,0.181672
33,0.17587
12,0.175689
14,0.174728
24,0.175389
19,0.174097
20,0.174738
14,0.178154
23,0.177673
42,0.178395
21,0.176171
14,0.187983
14,0.17578
19,0.177022
15,0.173776
18,0.174688
12,0.176261
8,0.174428
5,0.180199
14,0.185618
9,0.178715
5,0.174708
13,0.17574
14,0.178616
16,0.182222
6,0.17615
19,0.17597
13,0.179978
5,0.175319
9,0.183034
6,0.177273
1,0.182753
12,0.17549
11,0.176351
1,0.180059
1,0.176481
4,0.188704
1,0.187973
6,0.181771
1,0.180959
1,0.185869
3,0.176201
2,0.177092
2,0.176311
5,0.185889
2,0.17569
3,0.187982
2,0.184637
19,0.186019
16,0.180509
1,0.177644
8,0.176671
3,0.174378
1,0.180058
1,0.184096
50,0.18113
14,0.176702
24,0.181661
21,0.176782
12,0.176451
6,0.181712
7,0.176802
5,0.18136
6,0.175079
8,0.17551
4,0.174978
11,0.17586
23,0.176041
5,0.176151
21,0.17619
29,0.177152
11,0.174558
34,0.186059
30,0.17597
12,0.18134
8,0.176952
12,0.175239
18,0.176181
11,0.179878
12,0.182002
10,0.175389
29,0.17559
12,0.175299
13,0.174187
21,0.174277
14,0.182252
7,0.176422
8,0.179717
7,0.17564
2,0.178886
3,0.181
17,0.183244
8,0.17592
9,0.180088
4,0.184036
21,0.180128
19,0.179647
6,0.174157
8,0.173536
13,0.174517
16,0.174267
8,0.176151
13,0.17578
27,0.17592
23,0.174177
17,0.174457
12,0.174949
7,0.174257
20,0.177243
21,0.173907
11,0.177964
13,0.174948
16,0.179477
14,0.174628
18,0.175359
41,0.173626
43,0.181921
50,0.173767
26,0.173776
22,0.181441
7,0.174628
13,0.183445
2,0.176641
18,0.178615
4,0.174387
5,0.17578
20,0.185559
3,0.179627
2,0.180299
12,0.180589
11,0.179958
4,0.174197
7,0.181711
7,0.175239
5,0.180258
9,0.179086
4,0.173746
8,0.173726
12,0.18136
9,0.179818
2,0.173736
8,0.174547
4,0.183825
7,0.174628
2,0.178355
3,0.179938
7,0.184757
3,0.174588
5,0.180609
10,0.182062
2,0.179697
3,0.177884
7,0.174989
14,0.185107
3,0.175169
4,0.175569
2,0.173806
3,0.179407
7,0.176431
1,0.179497
3,0.18109
21,0.181331
5,0.186019
5,0.1808
6,0.185959
2,0.176621
2,0.180509
12,0.183054
11,0.185398
1,0.182693
20,0.183935
1,0.182312
20,0.189346
1,0.181231
14,0.182462
2,0.183214
7,0.181641
5,0.182733
1,0.178695
6,0.183154
5,0.179978
3,0.177053
4,0.178205
3,0.176852
23,0.18134
1,0.182042
24,0.183354
2,0.18102
2,0.185398
1,0.18106
13,0.181691
1,0.180038
3,0.182402
1,0.183184
3,0.182532
2,0.17552
34,0.174357
39,0.183655
14,0.176702
13,0.174097
16,0.176612
13,0.176491
16,0.17587
7,0.176531
13,0.182262
23,0.174498
7,0.179477
15,0.178896
27,0.17562
19,0.177944
25,0.176211
20,0.176091
33,0.181872
18,0.175079
39,0.176611
36,0.17619
26,0.174658
34,0.176161
13,0.176241
19,0.183554
16,0.175339
13,0.174618
13,0.174918
18,0.17554
7,0.177874
27,0.18155
13,0.173917
17,0.174578
31,0.176942
36,0.175249
34,0.176842
60,0.17546
54,0.178365
26,0.177663
33,0.178245
26,0.17563
44,0.175609
44,0.175269
16,0.176431
39,0.18088
48,0.176992
10,0.184566
37,0.177293
15,0.176581
11,0.181912
14,0.177162
29,0.177072
16,0.176181
13,0.176421
11,0.17602
15,0.181741
18,0.180679
11,0.177042
12,0.176772
45,0.175169
28,0.176561
22,0.176
16,0.182372
17,0.18095
29,0.176231
13,0.176732
11,0.176031
12,0.178134
24,0.176732
37,0.180529
26,0.177854
29,0.181601
25,0.177393
21,0.186821
12,0.178666
15,0.176441
16,0.174878
14,0.174157
9,0.175319
17,0.174077
7,0.17568
11,0.175249
17,0.177574
9,0.175019
14,0.175861
13,0.182472
14,0.181821
13,0.179498
19,0.181811
16,0.175409
11,0.176722
11,0.175209
10,0.174147
20,0.182743
17,0.17546
1,0.179347
11,0.1754
18,0.174818
16,0.176862
19,0.174167
19,0.174779
14,0.177073
21,0.176161
15,0.177423
29,0.176121
21,0.177113
18,0.174978
38,0.176842
20,0.17575
18,0.1758
30,0.174978
8,0.184146
47,0.174829
10,0.174738
31,0.18138
19,0.175429
21,0.17568
21,0.179628
36,0.17597
20,0.174918
20,0.17573
45,0.176531
33,0.17602
26,0.182432
16,0.181351
11,0.174999
16,0.177463
13,0.175359
11,0.17567
20,0.185619
16,0.174237
13,0.176662
5,0.17584
17,0.177443
15,0.175239
13,0.177183
23,0.174688
22,0.177173
11,0.174327
21,0.176121
23,0.178715
16,0.176561
29,0.181601
18,0.175329
41,0.181231
15,0.180969
48,0.17593
42,0.176682
46,0.176191
88,0.176802
93,0.176983
52,0.173867
127,0.174959
73,0.17588
55,0.176301
55,0.175359
35,0.177003
33,0.17576
31,0.18116
15,0.176201
13,0.181611
30,0.187502
14,0.177664
10,0.175099
31,0.174067
23,0.174858
34,0.17555
33,0.174918
21,0.174678
18,0.174708
17,0.182853
28,0.180459
26,0.176562
13,0.176572
19,0.179768
29,0.174628
